Country,Pop growth,Pop growth 2004,Price index,Carbon Dioxide 2003,Export 1990,Export 2004,Elec 2003,GDP,GDP PPP,GDP pc,GDP pc growth rate,Fem Econo Rate,Fem Econo 1990,Fem Econo 2004,Health Exp,Babies,Internet 1990,Import 1990,Import 2004,Tertiary female ratio,Babies immunized,Manufactured Exp 2004,Foreign invest 2004,Military 2004,Public Health 2003,Private Health 2003,Primary export 2004,Public Health,Refugees asylum,Refugees origin,Armed forces,Parliament Women,Female Male income,House women 2006,Pop 1975,Pop 2004,Pop 2015,Tuberculosis detected,Tuberculosis cured 2004,Trad fuel,ODA pc donnor 2004,ODA to least dev 1990,ODA to least dev 2004,ODA received,ODA received pc
Norway,0.5,0.5,2.2,9.9,40,44,25295,250.1,176.5,54465,2.5,63.1,111,87,3809,5,7,34,30,1.54,88,19,0.2,2,8.6,1.7,77,8.6,43,0,26,37.9,0.75,37.9,4,4.6,4.8,46,97,4598,477,44,38,0,0
Iceland,1,0.8,3.2,7.6,35,37,29412,12.2,9.7,41893,2,70.9,105,87,3110,4,0,33,43,1.78,93,17,2.5,0,8.8,1.7,82,8.8,0,0,0,33.3,0.71,33.3,0.2,0.3,0.3,57,100,292,0,0,11,0,0
Australia,1.3,1,2.4,18,17,18,11446,637.3,610,31690,2.5,56.1,108,79,2874,7,6,17,21,1.23,93,25,6.7,1.9,6.4,3.1,58,6.4,65,0,53,28.3,0.7,24.7,13.6,19.9,22.2,33,82,19942,73,18,24,0,0
Ireland,0.9,1.2,2.8,10.3,57,80,6660,181.6,158,44644,7.3,51.9,146,72,2496,6,0,52,65,1.28,81,86,6.1,0.7,5.8,1.5,10,5.8,7,0,10,14.2,0.51,13.3,3.2,4.1,4.7,63,79,4080,152,37,53,0,0
Sweden,0.3,0.3,1.7,5.9,30,46,16603,346.4,265.6,38525,1.8,58.8,93,87,2704,4,6,29,38,1.55,94,81,-0.2,1.6,8,1.4,14,8,75,0,28,45.3,0.81,45.3,8.2,9,9.3,69,84,9008,302,39,28,0,0
Canada,1.1,0.8,1.9,17.9,26,38,18329,978,999.6,30586,2.1,60.2,104,83,2989,6,4,26,34,1.36,95,60,0.6,1.1,6.9,3,35,6.9,147,0,62,24.3,0.63,20.8,23.1,32,35.1,58,35,31958,81,30,27,0,0
Japan,0.5,0.6,0.3,9.7,10,12,8212,4622.8,3737.3,36182,0.8,48.5,97,65,2244,8,1,9,10,0.89,99,93,0.2,1,6.4,1.5,3,6.4,2,0,260,10.7,0.44,9,111.5,127.9,128,45,76,127923,70,19,19,0,0
United States,1,0.9,2.6,19.8,10,10,14057,11711.8,11651.1,39883,1.9,59.6,105,81,5711,8,8,11,14,1.39,93,82,0.9,4,6.8,8.4,14,6.8,379,1,1546,15,0.62,15.2,220.2,295.4,325.7,85,70,295410,67,22,23,0,0
Switzerland,0.5,0.1,1.3,5.6,36,44,8701,357.5,244.1,48385,0.2,60.1,115,79,3776,6,6,34,37,0.8,82,93,-0.2,1,6.7,4.8,7,6.7,48,0,4,24.8,0.61,25,6.3,7.2,7.3,63,79,7240,210,43,26,0,0
Netherlands,0.6,0.3,2.6,8.7,54,65,7026,579,517.6,35560,2.1,55.8,128,76,2987,8,3,51,60,1.08,96,70,0.1,1.7,6.1,3.7,30,6.1,118,0,53,34.2,0.63,36.7,13.7,16.2,16.8,61,86,16226,258,33,35,0,0
Finland,0.4,0.2,1.6,13,23,37,17111,185.9,156.6,35562,2.2,56.9,98,86,2108,4,4,24,32,1.2,97,83,1.7,1.2,5.7,1.7,16,5.7,12,0,28,37.5,0.71,37.5,4.7,5.2,5.4,63,79,5235,130,38,25,0,0
Luxembourg,0.8,1.2,2,22,104,146,16348,31.9,31.7,70295,5.4,44.1,122,68,3680,8,0,100,125,1.18,91,86,246.9,0.9,6.2,0.6,13,6.2,2,0,1,23.3,0.49,23.3,0.4,0.5,0.5,83,79,459,524,39,37,0,0
Belgium,0.2,0.1,1.9,8.3,71,84,8791,352.3,324.1,33807,1.7,43.4,119,72,2828,8,1,69,81,1.21,82,81,7,1.3,6.3,3.1,18,6.3,15,0,37,35.7,0.63,34.7,9.8,10.4,10.5,65,73,10400,141,41,44,0,0
Austria,0.3,0.1,2,8.6,38,51,8527,292.3,263.8,35766,2,49.3,114,75,2306,7,1,37,46,1.19,74,84,1.4,0.8,5.1,2.4,15,5.1,21,0,40,32.2,0.44,33.9,7.6,8.2,8.3,42,68,8171,83,63,25,0,0
Denmark,0.2,0.2,2.2,10.1,36,43,7138,241.4,172.5,44673,1.7,59.4,96,84,2762,5,1,31,38,1.42,96,66,-3.6,1.5,7.5,1.5,31,7.5,44,0,21,36.9,0.73,36.9,5.1,5.4,5.6,78,84,5414,377,39,36,0,0
France,0.5,0.3,1.6,6.2,21,26,8319,2046.6,1769.2,33896,1.7,48.2,105,79,2902,7,1,23,26,1.28,86,83,1.2,2.6,7.7,2.4,17,7.7,137,0,255,13.9,0.64,12.2,52.7,60.3,62.3,63,79,60257,137,33,37,0,0
Italy,0.2,0.6,3.2,7.7,20,27,5943,1677.8,1622.4,29143,1.3,37,103,61,2266,6,1,20,26,1.34,84,88,1,2,6.3,2.1,11,6.3,21,0,191,16.1,0.46,17.3,55.4,58,57.8,58,95,58033,43,41,32,0,0
United Kingdom,0.2,0.3,2.7,9.4,24,25,6755,2124.4,1845.2,35485,2.2,55,104,79,2389,8,1,27,28,1.37,81,76,3.4,2.8,6.9,1.1,18,6.9,293,0,217,18.5,0.65,19.7,55.4,59.5,61.4,63,79,59479,131,32,38,0,0
Spain,0.6,0.4,3.4,7.3,16,26,6325,1039.9,1069.3,24360,2.3,44.2,130,65,1853,6,1,20,29,1.22,97,77,1.6,1.1,5.5,2.2,21,5.5,5,0,147,30.5,0.5,36,35.6,42.6,44.4,63,79,42646,56,20,17,0,0
New Zealand,0.9,0.7,1.9,8.8,27,29,10453,98.9,95.1,24364,2.1,59.8,112,81,1893,6,0,27,29,1.41,85,31,2.3,1,6.3,1.8,65,6.3,5,0,9,32.2,0.7,32.2,3.1,4,4.3,59,36,3989,52,19,31,0,0
